Sector,Company Size Band,AI Readiness Band,Cell Population,Avg Funding,Avg Hiring Velocity,Avg Bench-Match Score
Food and Beverage,500+,1,1,0.0,1.92,10.0
Incubators,Unknown,0,1,0.0,0.93,8.0
Clean Energy,101-250,2,1,0.0,0.86,10.0
Animation,1-10,1,1,0.0,1.03,3.0
Energy Storage,11-50,2,1,4800000.0,2.53,6.0
Audio,11-50,0,1,1200000.0,0.23,2.0
Asset Management,Unknown,1,1,0.0,0.73,9.0
Crowdfunding,Unknown,0,1,0.0,0.19,9.0
Cryptocurrency,11-50,0,1,300000.0,-0.31,5.0
Apps,11-50,1,1,1500000.0,1.02,10.0
Agriculture,1-10,1,1,1000000.0,2.84,7.0
Bakery,201-500,0,1,0.0,-0.07,6.0
Cloud Infrastructure,11-50,0,1,0.0,-0.35,7.0
Home Decor,1-10,0,1,0.0,1.09,3.0
Information Services,1-10,0,1,0.0,0.36,9.0
E-Learning,1-10,3,1,0.0,2.57,10.0
Finance,500+,2,1,200000000.0,2.09,7.0
Government,11-50,1,1,0.0,1.72,7.0
Broadcasting,500+,2,1,0.0,2.93,10.0
Education,201-500,1,1,0.0,1.6,8.0
Financial Services,1-10,2,1,0.0,1.24,5.0
Adventure Travel,11-50,1,1,0.0,2.36,9.0
Public Relations,11-50,1,1,0.0,2.26,3.0
Creative Agency,1-10,1,1,0.0,1.57,4.0
Biotechnology,11-50,0,1,0.0,-0.14,1.0
Android,11-50,1,1,709996.0,0.61,5.0
Venture Capital,11-50,1,1,0.0,2.09,5.0
Agriculture,11-50,2,1,0.0,0.51,10.0
Food and Beverage,11-50,0,1,0.0,0.96,2.0
Home and Garden,11-50,0,1,0.0,0.38,5.0
Freight Service,1-10,0,1,0.0,0.69,7.0
Farming,500+,1,1,0.0,1.48,7.0
Content,Unknown,0,1,0.0,-0.23,3.0
News,201-500,1,1,0.0,1.61,5.0
Personal Health,1-10,0,1,0.0,0.09,9.0
Environmental Consulting,Unknown,2,1,0.0,0.88,9.0
Data Integration,Unknown,2,1,0.0,0.63,7.0
Auto Insurance,500+,2,1,147000000.0,0.66,5.0
Chemical,11-50,1,1,0.0,0.97,10.0
Banking,Unknown,1,1,0.0,0.69,10.0
Information Technology,Unknown,0,1,0.0,1.34,2.0
Information Technology,201-500,1,1,0.0,0.67,7.0
Security,1-10,1,1,0.0,1.25,5.0
Information Services,101-250,2,1,0.0,1.86,10.0
3D Technology,201-500,1,1,0.0,3.38,10.0
Charity,1-10,1,1,0.0,3.41,8.0
Customer Service,1-10,0,1,0.0,-0.14,1.0
Android,1-10,1,1,0.0,3.01,8.0
Retail,101-250,1,1,0.0,1.68,10.0
Real Estate,11-50,0,1,0.0,0.01,6.0
Analytics,1-10,3,1,500000.0,0.91,10.0
Health Care,101-250,0,1,0.0,1.1,7.0
Industrial Automation,Unknown,0,1,0.0,1.03,8.0
Consulting,101-250,2,1,0.0,1.68,10.0
Brewing,11-50,1,1,0.0,1.51,9.0
Artificial Intelligence (AI),1-10,0,1,0.0,0.81,9.0
Government,11-50,2,1,0.0,2.73,10.0
Assisted Living,1-10,1,1,0.0,1.66,10.0
Education,500+,0,1,0.0,0.22,6.0
FinTech,1-10,0,1,1200.0,-0.13,4.0
Building Maintenance,500+,2,1,0.0,2.1,6.0
Consulting,500+,1,1,0.0,2.53,10.0
Cloud Computing,1-10,2,1,0.0,0.53,10.0
Elderly,101-250,0,1,0.0,1.03,8.0
Consumer Goods,1-10,0,1,0.0,0.27,9.0
Customer Service,1-10,2,1,0.0,2.76,10.0
Cosmetics,Unknown,2,1,0.0,1.08,6.0
Lead Management,1-10,0,1,0.0,-0.37,2.0
Advice,101-250,0,1,0.0,0.44,7.0
Communications Infrastructure,11-50,0,1,0.0,1.14,4.0
Analytics,1-10,2,1,0.0,1.67,6.0
Enterprise Software,1-10,0,1,0.0,-0.48,9.0
